Sequence_Name	Peptide_Length	GRAVY	Hydrophobic_Moment	pI	Molar_Mass	Net_Charge_at_pH7	Cysteine	Lysine_to_Arginine
HYL_SPla_L0L3V3	16	1.275	0.497903344	9.702001946	1518.86284	1.088598356	0	1
HYL_HPra_P86037	29	-0.04137931	0.688122197	10.48492528	3138.70354	2.996400234	0	1
HYL_HPci_1	25	0.596	0.633204426	9.4436861	2387.80794	1.090229896	0	1
HYL_PHbi_Q9PT75	32	0.384375	0.5423684	10.50690111	3193.69084	1.997545682	0	1
HYL_PHbi_P81565	19	0.247368421	0.499229833	9.700015683	1999.33004	0.997689266	0	1
HYL_LDpu_C0HJZ6	25	0.312	0.674107311	9.375354147	2639.15164	1.090381346	0	1
HYL_LDpu_C0HK03	32	-0.046875	0.738702874	10.62257403	3312.92164	2.99917391	0	0.833333333
HYL_PLth_1	23	0.813043478	0.60969558	11.65176868	2217.68314	1.997685954	0	0.5
HYL_PLth_3	13	0.815384615	0.466785862	10.80539353	1311.63074	1.997394232	0	1
HYL_CRca_A0A193H395	20	1.235	0.65628253	10.50690111	2061.53884	1.997545682	0	1
HYL_CRca_A0A193H397	27	0.351851852	0.668744954	9.443677527	2777.21924	1.088901257	0	1
MIC_KAma_C7C1K8	20	1.475	0.50153006	7.550325393	1976.34924	0.08889339	0	0
MIC_KAma_G0LWV9	21	0.70952381	0.589025137	7.548723479	2278.72004	0.090524929	0	1
MIC_KAse_X5JB74	20	0.88	0.615242524	7.712976584	2313.81404	0.179953932	0	1
MIC_KAse_n_Q90W78	23	-0.891304348	0.542318862	10.11700913	2791.17934	3.934341739	4.347826087	0.6
MIC_KAse_Q4GZT0	17	0.517647059	0.371312817	10.50700064	1977.46414	2.089783411	0	1
MIC_KAse_E6ZBE2	13	1.607692308	0.388172747	6.099982329	1331.61794	-0.002015701	0	0
MIC_KAse_L0P323	16	1.81875	0.41158724	6.099982329	1732.13614	-0.002015701	0	0
RAN_NApa_D0ES75	20	0.365	0.563010991	9.676250598	1945.26684	1.935419516	5	1
RAN_PEni_G3E7U4	20	-0.085	0.347762932	5.390302389	2244.50414	-1.816495823	0	1
RAN_ODan_E3SZI0	20	-0.55	0.38416437	9.368933695	2290.76704	1.936492363	5	0.75
RAN_AMlo_C5H0C7	17	0.876470588	0.706920838	10.54999919	1865.16224	0.997980988	0	0
RAN_HDma_A0A141PZI7	25	-0.132	0.370512663	9.404975692	2753.31604	1.935012274	4	0.666666667
RAN_BApl_B5L1L0	18	1.344444444	0.501422484	8.545178985	1882.33504	0.93571455	5.555555556	1
RAN_RAch_F1AEM0	17	-0.829411765	0.421644465	12.98471575	2175.66014	6.179199168	0	0.333333333
RAN_RAch_F1AEL7	11	1.2	0.288306417	9.298294598	1221.50514	0.996838851	0	1
RAN_RAch_Q1KLZ5	13	1.438461538	0.487160186	3.749972476	1392.70164	-1.001569216	0	0
RAN_RAch_Q1KLZ4	13	0.6	0.348033475	10.24760044	1460.82284	1.996543817	0	1
RAN_LBca_D5MTM2	13	0.530769231	0.348033475	10.24760044	1456.83444	1.996543817	0	1
RAN_AMlo_A0SN45	16	1.625	0.440950575	9.700015683	1627.04314	0.997689266	0	1
RAN_BAad_E1B2T9	13	1.376923077	0.433016314	5.292276202	1384.63814	-0.910660126	0	0
RAN_SYni_C0ILJ6	17	1.876470588	0.372865157	9.700015683	1764.26794	0.997689266	0	1
RAN_SYni_C0ILK0	17	1.570588235	0.406351055	9.700015683	1910.37264	0.997689266	0	1
RAN_SYsp_E7EKJ5	17	1.635294118	0.429136221	9.700015683	1880.34634	0.997689266	0	1
RAN_SYsp_E7EKJ6	13	1.623076923	0.425790436	9.700015683	1333.69514	0.997689266	0	1
RAN_LBpi_B0B2H3	13	1.8	0.440950575	9.700015683	1369.75364	0.997689266	0	1
RAN_LBpi_M9NY66	13	1.853846154	0.460069956	9.700015683	1369.75364	0.997689266	0	1
RAN_ODan_E3SZL5	15	1.386666667	0.218073094	10.80539353	1651.06784	1.997394232	0	1
RAN_ODan_E3SZL6	13	1.746153846	0.424706202	9.700015683	1435.83094	0.997689266	0	1
RAN_PEni_R4IVK0	13	2.169230769	0.337071093	6.099982329	1310.64004	-0.002015701	0	0
RAN_RAbo_M9NXA1	13	2.023076923	0.46573165	9.700015683	1383.78054	0.997689266	0	1
RAN_RAch_B8QP36	15	0.953333333	0.736653993	9.537300874	1735.09944	0.997840716	0	1
RAN_RAch_B8QZV9	12	2.441666667	0.331056961	6.099982329	1221.58914	-0.002015701	0	0
RAN_RAch_F1AEM4	13	2.392307692	0.339724997	6.099982329	1292.66794	-0.002015701	0	0
RAN_RAch_F1AEM6	13	1.984615385	0.504147243	9.700015683	1393.81644	0.997689266	0	1
RAN_BApl_B5L1A8	13	0.007692308	0.403899115	4.184393504	1571.83674	-1.000647819	0	0
RAN_LBca_C5IBS4	12	1.358333333	0.399962736	9.298294598	1334.66454	0.996838851	0	1
RAN_BApl_B5L1B3	13	1.707692308	0.355231725	9.700015683	1301.63504	0.997689266	0	1
RAN_AMha_H9MHY0	15	1.04	0.589705249	9.537315374	1657.06954	0.999169354	0	1
RAN_BAad_E1B2U2	15	-0.266666667	0.417477377	3.927560327	1692.88334	-1.998314005	0	1
RAN_ODan_E3SZJ4	12	0.408333333	0.187651141	10.80539353	1145.36454	1.997394232	0	1
RAN_ODan_E3SZJ6	13	-0.030769231	0.154894832	10.80539353	1204.38894	1.997394232	0	1
RAN_BAad_E1B2U3	21	-1.352380952	0.598038204	4.587612987	2504.78194	-0.998538056	0	0.666666667
RAN_ODan_E3SZI2	14	-0.8	0.487826769	9.69502246	1692.93484	0.999461077	0	0.5
RAN_AMlo_A6XFB5	14	-0.792857143	0.487826769	9.69502246	1706.96174	0.999461077	0	0.5
RAN_PEni_I3QBM3	19	-0.484210526	0.527799505	10.11957406	2194.55844	1.998023906	0	1
RAN_ODli_C3RT08	14	-0.128571429	0.160046914	9.324848696	1672.98074	1.934302132	7.142857143	0
RAN_SYni_C4MR35	14	-0.314285714	0.199146688	9.324848696	1691.01394	1.934302132	7.142857143	0
RAN_BApl_C5H616	14	-0.292857143	0.208370711	9.298540974	1630.94044	1.93401041	7.142857143	0.5
RAN_BApl_B5L1I5	26	0.457692308	0.363170437	11.4811884	2831.46424	3.026617018	3.846153846	0.333333333
RAN_SYsp_E7EKJ3	25	-0.208	0.370512663	8.547955831	2728.26594	1.027218264	4	0.666666667
RAN_LBpi_J9RWS5	26	-1.215384615	0.448265937	11.72212612	2969.54984	6.026175089	3.846153846	0.571428571
RAN_ODan_E3SZH4	28	-0.571428571	0.702060119	11.47949152	3158.72074	4.02720833	3.571428571	0.333333333
RAN_ODan_E3SZI6	23	0.126086957	0.583492239	9.94713664	2484.90174	2.934158549	4.347826087	0.5
RAN_ODan_E3SZI7	23	-0.060869565	0.34493479	9.886926741	2448.82484	2.933866826	4.347826087	0.75
RAN_SYni_C0ILB1	21	-0.057142857	0.63297497	10.87087695	2512.99904	2.997426852	0	0.4
RAN_BApl_B5L1L8	30	0.246666667	0.544011465	9.579836099	3344.01604	1.937342778	3.333333333	0.75
RAN_NApa_D0ES73_disulfide	14	1.078571429	0.320957832	8.821666743	1641.12374	1.8734448	14.28571429	1
RAN_NApl_A0A0A0RAN7_disulfide	16	0.8875	0.380045455	9.914544521	1863.35574	2.873733211	12.5	0.333333333
RAN_BAad_E1B2T8_disulfide	23	1.339130435	0.579284494	9.667771694	2405.03874	2.873149766	8.695652174	1
RAN_BApl_B5L1D1_disulfide	23	1.382608696	0.559099369	9.667771694	2478.13574	2.873149766	8.695652174	1
RAN_SYsp_E7EKH1_disulfide	24	1.220833333	0.52623309	9.915319007	2564.19194	2.964642302	8.333333333	0.333333333
RAN_SYni_C0ILG2_disulfide	24	1.25	0.642636855	10.34879155	2545.26954	3.872854732	8.333333333	1
RAN_SYsp_E7EKH2_disulfide	24	0.970833333	0.567049025	10.34879155	2586.25334	3.872854732	8.333333333	1
RAN_ODan_E3SYB6_disulfide	24	1.179166667	0.591425743	9.759879323	2533.13164	2.873441489	8.333333333	0.666666667
RAN_ODan_E3SYN0_disulfide	22	0.9	0.46420072	8.239546303	2349.85274	0.966129013	9.090909091	1
RAN_ODan_E3SZH7_disulfide	24	1.05	0.39645523	8.231163643	2586.13894	0.965278599	8.333333333	1
RAN_ODan_E3SZB8_disulfide	13	0.3	0.375146642	9.914544521	1598.01814	2.873733211	15.38461538	0.333333333
RAN_ODan_D2K8J8_disulfide	12	0.566666667	0.394570362	9.759879323	1424.84404	2.873441489	16.66666667	0.666666667
RAN_ODli_Q2UXR4_disulfide	24	0.808333333	0.39645523	8.231163643	2568.12354	0.965278599	8.333333333	1
RAN_ODan_E3SZH9_disulfide	24	0.808333333	0.39645523	8.231163643	2584.12304	0.965278599	8.333333333	1
RAN_ODan_D2K8D1_disulfide	24	1.1	0.737742102	9.759879323	2648.30914	2.873441489	8.333333333	0.666666667
RAN_ODan_E3SYM7_disulfide	23	1.160869565	0.607259548	10.34879155	2512.19634	3.872854732	8.695652174	1
RAN_LBca_C1C3U1_disulfide	24	1.108333333	0.654709081	10.51267273	2653.32594	3.873146455	8.333333333	0.75
RAN_LBca_P39084_disulfide	20	1.4	0.395740574	9.667771694	2105.72974	2.873149766	10	1
RAN_ODan_D2K8D2_disulfide	24	0.975	0.684947291	10.34879155	2650.36544	3.872854732	8.333333333	1
RAN_ODan_E3SYH0_disulfide	24	1.020833333	0.772120928	10.51267273	2706.43264	3.873146455	8.333333333	0.75
RAN_AMlo_A0SN38_disulfide	24	0.866666667	0.684947291	10.34879155	2668.39864	3.872854732	8.333333333	1
RAN_PEle_P32412_disulfide	24	0.95	0.777648041	10.51267273	2678.37884	3.873146455	8.333333333	0.75
RAN_RAbo_J9RS19_disulfide	24	1.075	0.489579991	10.34879155	2609.31304	3.872854732	8.333333333	1
RAN_RAch_B8QZV5_disulfide	17	1.205882353	0.463924615	8.828181734	1910.42474	1.873736522	11.76470588	0.5
RAN_LBpi_Q8QFQ5_disulfide	24	1.295833333	0.607868516	10.34879155	2579.28674	3.872854732	8.333333333	1
RAN_AMha_E7EKE9_disulfide	21	0.785714286	0.571263841	11.38117907	2365.92684	3.8737299	9.523809524	0.25
RAN_GLru_P80399_disulfide	24	1.141666667	0.570142654	10.34879155	2571.22094	3.872854732	8.333333333	1
RAN_PEni_G3E7P3_disulfide	24	1.116666667	0.553805902	10.34879155	2513.22484	3.872854732	8.333333333	1
RAN_PEni_G3E7W0_disulfide	26	0.246153846	0.433234046	8.208459789	2977.58084	1.688150327	19.23076923	1
RAN_ODli_A1JUI6_disulfide	21	1.214285714	0.528724622	9.667771694	2030.55844	2.873149766	9.523809524	1
RAN_PEni_G3E7T4_disulfide	21	1.233333333	0.488976194	9.667771694	2000.53214	2.873149766	9.523809524	1
RAN_ODan_E3SZH3_disulfide	19	0.947368421	0.477705433	8.792471841	2026.48284	1.872594386	10.52631579	1
RAN_ODan_D2K8B8_disulfide	21	1.123809524	0.522743283	9.667771694	2080.63614	2.873149766	9.523809524	1
RAN_ODan_E3SZF7_disulfide	21	0.980952381	0.533051224	9.667771694	2064.57544	2.873149766	9.523809524	1
RAN_ODan_E3SYP8_disulfide	21	1.328571429	0.425867034	8.24122807	1968.40304	0.964648925	9.523809524	1
RAN_ODan_E3SYU3_disulfide	21	1.395238095	0.471665658	8.821666743	1973.46304	1.8734448	9.523809524	1
RAN_ODan_E3SYX0_disulfide	21	0.1	0.501394799	10.34511268	2118.58404	3.873297905	9.523809524	0.8
RAN_ODli_C3RSZ8_disulfide	21	1.40952381	0.475024214	8.821666743	1987.48984	1.8734448	9.523809524	1
RAN_ODli_C3RSZ9_disulfide	21	1.295238095	0.461350741	8.821666743	1959.43604	1.8734448	9.523809524	1
RAN_AMha_H9MHW1_disulfide	13	0.138461538	0.390845415	9.914544521	1497.85754	2.873733211	15.38461538	0.333333333
RAN_AMlo_C5H0D0_disulfide	13	0.523076923	0.181451771	8.828181734	1304.59094	1.873736522	15.38461538	0.5
RAN_PEle_L0NP29_disulfide	17	0.547058824	0.315656101	10.51267273	1894.36974	3.873146455	11.76470588	0.75
RAN_ODan_E3SZK8_disulfide	17	0.364705882	0.288158466	9.7606534	1953.35344	2.964350579	11.76470588	0.666666667
RAN_ODan_E3SZL0_disulfide	17	0.652941176	0.379321973	9.7606534	1951.38094	2.964350579	11.76470588	0.666666667
RAN_ODli_C3RT06_disulfide	13	0.961538462	0.294716551	9.759879323	1481.88064	2.873441489	15.38461538	0.666666667
RAN_ODan_E3SYN2_disulfide	13	0.623076923	0.392620053	9.759879323	1527.90634	2.873441489	15.38461538	0.666666667
RAN_ODli_C3RT07_disulfide	16	-0.28125	0.429003068	8.221151522	1862.15114	0.874661231	12.5	0.5
RAN_ODli_C3RT01_disulfide	20	-0.275	0.451612074	9.909550012	2195.54264	2.874176384	10	0.25
RAN_ODli_C3RT10_disulfide	14	0.257142857	0.31372178	9.391672203	1677.01264	2.872032383	14.28571429	0.333333333
RAN_ODan_E3SZI3_disulfide	16	0.05625	0.461263793	8.242960722	1814.11294	0.96538382	12.5	0
RAN_SYni_C0ILB2_disulfide	17	-0.347058824	0.507480616	8.837893062	1984.28394	1.964937336	11.76470588	0
RAN_SYsp_E7EKI5_disulfide	16	-0.05	0.60841022	8.834782566	1849.15874	1.874471418	12.5	0
RAN_SYni_C0ILA0_disulfide	16	-0.2125	0.548763078	8.231397603	1891.19604	0.874917902	12.5	0
RAN_SYni_C0IL92_disulfide	16	-0.36875	0.328416377	8.2429677	1770.01364	0.964940647	12.5	0
RAN_SYsp_E7EKJ2_disulfide	16	0.0375	0.233830844	8.231416039	1750.02274	0.874031556	12.5	0
RAN_ODan_E3SZJ8_disulfide	31	-0.109677419	0.678816562	10.62324649	3467.15404	4.873446044	6.451612903	0.714285714
RAN_ODan_D2K8I5_disulfide	31	-0.077419355	0.667259495	10.62324649	3433.13684	4.873446044	6.451612903	0.714285714
RAN_SYni_C0ILK4_disulfide	31	0.074193548	0.614746316	10.22697811	3378.05434	3.874777994	6.451612903	0.833333333
RAN_RAch_F1AEK6_disulfide	31	0.006451613	0.691387793	9.548532994	3304.97454	2.873452667	6.451612903	1
RAN_ODan_E3SYL2_disulfide	31	0.296774194	0.64681278	8.808922592	3316.96784	1.874190873	6.451612903	0.8
RAN_LBca_C5IB03_disulfide	31	0.148387097	0.635487937	8.80306603	3303.96894	1.875227789	6.451612903	1
RAN_BApl_B5L1L3_disulfide	31	0.148387097	0.673783396	8.80306603	3186.81624	1.875227789	6.451612903	1
RAN_BApl_B5L1I8_disulfide	31	-0.048387097	0.633734476	8.803049795	3360.97764	1.876556428	6.451612903	1
RAN_LBca_C5IAZ1_disulfide	31	0.187096774	0.547978894	9.505872144	3188.87794	2.874932755	6.451612903	1
RAN_PEni_R4IVK5_disulfide	30	0.573333333	0.522615438	10.22955825	3012.70604	3.873006182	6.666666667	1
RAN_PEni_R4IVD2_disulfide	30	0.383333333	0.535248056	9.548532994	3088.77594	2.873452667	6.666666667	1
RAN_SYsp_E7EKH6_disulfide	30	0.546666667	0.611101336	10.63252186	2990.65904	4.872559698	6.666666667	1
RAN_SYsp_E7EKH7_disulfide	30	0.266666667	0.620507923	8.809043613	3050.64274	1.875076339	6.666666667	1
RAN_SYni_C0ILA3_disulfide	30	0.513333333	0.618870579	10.63252186	3024.67624	4.872559698	6.666666667	1
RAN_PEni_G3E7X7_disulfide	30	0.423333333	0.521319263	9.548532994	3001.63654	2.873452667	6.666666667	1
RAN_LBpi_Q8QFQ4_disulfide	28	0.042857143	0.646883211	9.549338535	3002.66014	2.964361758	7.142857143	1
RAN_RAbo_J9RRZ4_disulfide	29	0.334482759	0.512312883	8.809043613	3180.78624	1.875076339	6.896551724	1
RAN_SYsp_E7EKI9_disulfide	28	0.103571429	0.492185454	9.666145653	2972.54714	2.873592939	7.142857143	0.75
RAN_ODan_D2K8E4_disulfide	29	0.124137931	0.612414827	9.548532994	3142.79894	2.873452667	6.896551724	1
RAN_ODli_C3RSZ7_disulfide	29	0.272413793	0.620663393	9.548532994	2947.56284	2.873452667	6.896551724	1
RAN_ODan_D2K8F2_disulfide	29	0.15862069	0.519861454	9.600648875	3033.56924	2.873301216	6.896551724	1
RAN_SYsp_E7EKH3_disulfide	33	0.248484848	0.536021254	9.547553091	3399.07084	2.873895839	6.060606061	0.833333333
RAN_SYsp_E7EKH5_disulfide	33	0.681818182	0.503406969	8.809044456	3256.91024	1.8737477	6.060606061	1
RAN_ODan_E3SYH8_disulfide	33	0.678787879	0.42946019	8.809044456	3228.85644	1.8737477	6.060606061	1
RAN_ODan_E3SYJ6_disulfide	33	0.43030303	0.452589033	9.600648875	3367.96704	2.873301216	6.060606061	1
RAN_ODan_D2K8C8_disulfide	33	0.493939394	0.529428644	9.548532994	3608.33034	2.873452667	6.060606061	1
RAN_ODan_E3SYI0_disulfide	33	0.827272727	0.42946019	8.809044456	3226.88394	1.8737477	6.060606061	1
RAN_ODan_E3SYK8_disulfide	33	0.596969697	0.405139723	9.600648875	3278.93174	2.873301216	6.060606061	1
RAN_ODan_E3SYK9_disulfide	33	0.442424242	0.452589033	8.226284063	3368.90844	0.875371373	6.060606061	1
RAN_ODan_E3SYJ3_disulfide	33	0.472727273	0.454866693	9.600648875	3370.00084	2.873301216	6.060606061	1
RAN_ODli_C3RSZ3_disulfide	33	0.427272727	0.451338711	9.600648875	3366.00994	2.873301216	6.060606061	1
RAN_PEle_P40842_disulfide	33	0.145454545	0.657409817	10.22955825	3367.05894	3.873006182	6.060606061	1
RAN_PEni_G3E7P6_disulfide	33	0.26969697	0.522500451	9.548549974	3351.03874	2.874781305	6.060606061	1
RAN_PEni_G3E7Q0_disulfide	33	0.281818182	0.522500451	8.224633079	3351.98014	0.876851462	6.060606061	1
RAN_BApl_B5L1M1_disulfide	33	0.712121212	0.513495843	8.212555039	3391.05244	1.687672102	15.15151515	1
RAN_SYni_C0ILC0_disulfide	33	0.260606061	0.553898468	10.13613527	3504.24804	3.873600806	6.060606061	0.857142857
RAN_ODli_Q2UXR3_disulfide	33	0.384848485	0.411781081	9.600648875	3356.94084	2.873301216	6.060606061	1
RAN_ODan_E3SZB0_disulfide	33	0.384848485	0.518812023	9.600648875	3321.95684	2.873301216	6.060606061	1
RAN_ODli_Q2UXR2_disulfide	33	0.681818182	0.415272526	8.815275901	3235.80214	1.87359625	6.060606061	1
RAN_AMha_E7EKE6_disulfide	33	0.3	0.70169793	10.22955825	3409.06304	3.873006182	6.060606061	1
RAN_RAbo_J9RWR8_disulfide	32	0.303125	0.590177663	10.4139408	3325.07464	4.872862599	6.25	1
RAN_GLru_P80398_disulfide	37	0.32972973	0.67116788	10.13809315	3749.48584	3.873157633	5.405405405	1
RAN_RAch_F1AEM3_disulfide	37	0.389189189	0.603492677	10.50919167	3718.47464	4.872711149	5.405405405	1
RAN_BAad_E1B2U0_disulfide	30	0.343333333	0.544011465	8.815182388	3390.10294	1.875368062	6.666666667	0.75
RAN_SYni_C0IL66_disulfide	19	0.031578947	0.369312973	8.987438397	2103.50594	2.902375864	15.78947368	0.666666667
RAN_SYsp_E7EKI1_disulfide	19	-0.047368421	0.28425422	8.509620513	2173.55074	1.811062843	15.78947368	0.666666667
RAN_SYni_C0ILA9_disulfide	17	0.211764706	0.351574373	9.607467989	2019.53614	3.901813861	17.64705882	0.25
RAN_SYsp_E7EKI4_disulfide	17	0.229411765	0.280738519	9.563120144	1968.48544	3.810613047	17.64705882	0.5
RAN_ODan_E3SYN9_disulfide	17	0.270588235	0.253675486	9.973225164	1943.43844	3.902664275	17.64705882	0.25
RAN_SYsp_E7EKI8_disulfide	17	-0.447058824	0.266932755	9.497008822	1907.27884	2.872591074	11.76470588	0.666666667
RAN_LBpi_J9RZ63_disulfide	48	0.147916667	0.689673495	10.06409274	4933.86384	3.87596636	4.166666667	1
RAN_LBpi_J9RS12_disulfide	46	-0.010869565	0.667227097	10.50375002	4939.95504	5.875819465	4.347826087	0.9
RAN_ODan_E3SYL3_disulfide	46	0.115217391	0.624447161	10.58161194	4818.77854	5.965248467	4.347826087	0.888888889
RAN_ODan_E3SYL6_disulfide	46	0.193478261	0.729446244	10.00097839	4878.87394	3.967470074	4.347826087	0.888888889
RAN_ODli_C3RT04_disulfide	46	0.215217391	0.679874731	10.33443886	4808.78044	4.876114499	4.347826087	0.888888889
RAN_ODli_C3RT09_disulfide	16	0.35	0.417625715	5.488059449	1815.10984	-1.032359522	12.5	0
RAN_LBpi_Q90WP7_disulfide	18	-0.316666667	0.260640566	10.26357832	2137.59174	3.872587763	11.11111111	0.5
RAN_PEle_P40844_disulfide	46	0.204347826	0.594861737	10.33443886	4802.81684	4.876114499	4.347826087	0.888888889
RAN_PEni_R4IW04_disulfide	46	0.219565217	0.594861737	10.33443886	4802.81684	4.876114499	4.347826087	0.888888889
RAN_SYsp_E7EKH8_disulfide	47	-0.091489362	0.703067105	10.70096848	5018.07444	6.875816154	4.255319149	0.818181818
RAN_SYsp_E7EKI0_disulfide	37	0.091891892	0.630905853	10.13818516	3840.51934	3.966724001	5.405405405	1
RAN_AMlo_C5H0D4_disulfide	37	0.148648649	0.643826921	10.50925138	3870.63274	4.964948878	5.405405405	1
RAN_ODan_E3SYM3_disulfide	37	0.705405405	0.615240216	10.68048239	3644.52224	5.873744753	5.405405405	1
RAN_ODan_E3SYM6_disulfide	37	0.375675676	0.643576177	10.13808072	3821.65384	3.87581491	5.405405405	1
RAN_ODli_Q2UXR1_disulfide	37	0.294594595	0.603012112	9.548545877	3879.69044	2.876109944	5.405405405	1
RAN_PEni_G3E7T1_disulfide	37	0.267567568	0.622223245	10.22955842	3782.47464	3.874334821	5.405405405	1
RAN_PEni_G3E7T0_disulfide	37	0.537837838	0.580417649	10.63252186	3602.31444	4.872559698	5.405405405	1
RAN_PEni_R4IVU7_disulfide	37	0.524324324	0.611917091	10.13809331	3795.61854	3.874486271	5.405405405	1
RAN_RAbo_J9R6K8_disulfide	37	0.375675676	0.580166838	10.22966055	3794.54694	3.965243912	5.405405405	1
RAN_LBca_C5IBR9_disulfide	25	0.596	0.572295106	10.34879155	2651.28244	3.872854732	8	1
RAN_THkw_R4QZ32_disulfide	26	-0.026923077	0.617177773	11.23248743	3199.04514	6.871994384	7.692307692	0.571428571
RAN_FEca_C7ENH5_disulfide	12	1.008333333	0.40062916	8.2429677	1308.62264	0.964940647	16.66666667	0
